session_id,stream_count,song_title_nunique,primary_artist_nunique,album_nunique,session_length,weekday,season,time_of_day_start,first_artist_listen_sum,first_song_listen_sum,first_album_listen_sum,first_listen_any_sum,artist_diversity,album_diversity,song_diversity,first_listen_ratio,cluster_filt
5136,41,40,6,11,2.0091666666666668,saturday,spring,afternoon,2,17,4,17,0.14634146341463414,0.2682926829268293,0.975609756097561,0.4146341463414634,2
5137,4,4,2,2,0.15194444444444444,sunday,spring,evening,0,1,1,1,0.5,0.5,1.0,0.25,0
5138,3,3,2,2,0.11694444444444445,sunday,spring,evening,0,0,0,0,0.6666666666666666,0.6666666666666666,1.0,0.0,3
5139,17,17,13,15,0.9127777777777778,sunday,spring,night,0,1,1,1,0.7647058823529411,0.8823529411764706,1.0,0.058823529411764705,2
5140,32,32,2,1,1.1083333333333334,sunday,spring,late  night,1,17,1,17,0.0625,0.03125,1.0,0.53125,2
5141,2,2,2,2,0.05416666666666667,sunday,spring,late  night,2,2,2,2,1.0,1.0,1.0,1.0,1
5142,1,1,1,1,0.0,sunday,spring,late  night,1,1,1,1,1.0,1.0,1.0,1.0,1
5143,7,7,1,1,0.3283333333333333,monday,spring,evening,0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,0.0,0
5144,15,15,12,14,0.8516666666666667,monday,spring,evening,4,9,8,9,0.8,0.9333333333333333,1.0,0.6,1
5145,8,8,8,8,0.35694444444444445,tuesday,spring,afternoon,2,7,6,7,1.0,1.0,1.0,0.875,1
5146,9,6,1,1,0.4597222222222222,tuesday,spring,night,0,0,0,0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0
5147,6,6,2,4,0.3527777777777778,tuesday,spring,afternoon,0,1,0,1,0.3333333333333333,0.6666666666666666,1.0,0.16666666666666666,0
5148,7,7,7,7,0.2747222222222222,wednesday,spring,afternoon,2,5,5,5,1.0,1.0,1.0,0.7142857142857143,1
5149,5,5,1,1,0.23277777777777778,thursday,spring,afternoon,0,0,0,0,0.2,0.2,1.0,0.0,0
5150,61,58,32,35,2.3508333333333336,thursday,spring,evening,9,31,22,31,0.5245901639344263,0.5737704918032787,0.9508196721311475,0.5081967213114754,2
5151,15,15,4,5,1.0108333333333333,thursday,spring,afternoon,0,6,0,6,0.26666666666666666,0.3333333333333333,1.0,0.4,2
5152,22,22,21,22,1.2066666666666668,friday,spring,afternoon,2,11,10,11,0.9545454545454546,1.0,1.0,0.5,2
5153,23,22,14,16,1.3477777777777777,saturday,spring,afternoon,0,6,3,6,0.6086956521739131,0.6956521739130435,0.9565217391304348,0.2608695652173913,2
5154,46,46,5,5,2.5633333333333335,sunday,spring,afternoon,1,19,3,19,0.10869565217391304,0.10869565217391304,1.0,0.41304347826086957,2
5155,5,5,5,5,0.16472222222222221,tuesday,spring,afternoon,0,5,5,5,1.0,1.0,1.0,1.0,1
5156,4,4,4,4,0.205,tuesday,spring,evening,1,2,2,2,1.0,1.0,1.0,0.5,3
5157,32,32,31,31,1.373888888888889,tuesday,spring,evening,4,26,23,26,0.96875,0.96875,1.0,0.8125,2
5158,8,8,6,6,0.37027777777777776,wednesday,spring,evening,0,3,4,4,0.75,0.75,1.0,0.5,1
5159,26,26,19,24,1.3594444444444445,wednesday,spring,evening,2,12,10,12,0.7307692307692307,0.9230769230769231,1.0,0.46153846153846156,2
5160,48,47,14,15,2.2094444444444443,wednesday,spring,afternoon,6,14,9,14,0.2916666666666667,0.3125,0.9791666666666666,0.2916666666666667,2
5161,21,21,1,1,1.0025,thursday,spring,afternoon,0,0,0,0,0.047619047619047616,0.047619047619047616,1.0,0.0,2
5162,4,4,4,4,0.1511111111111111,saturday,spring,afternoon,1,3,3,3,1.0,1.0,1.0,0.75,1
5163,17,17,9,10,0.9341666666666667,monday,spring,evening,6,8,8,8,0.5294117647058824,0.5882352941176471,1.0,0.47058823529411764,2
5164,13,13,13,13,0.5902777777777778,tuesday,spring,evening,5,10,9,10,1.0,1.0,1.0,0.7692307692307693,1
